date,avg_temp,min_temp,max_temp,precipitation
"September, 1989",67.7,59.3,76,6.38
"August, 1989",73.9,65.9,81.8,5.58
"July, 1989",74.8,66.3,83.3,4.6
"June, 1989",71.8,63.7,80,6.49
"May, 1989",61,52.4,69.6,10.48
"April, 1989",50.2,40.9,59.4,3.68
"March, 1989",40.8,32,49.4,4.33
"February, 1989",33.1,26.2,40,2.88
"January, 1989",35.9,28.9,43,2
"December, 1988",34.8,27.5,42.1,1.24
"November, 1988",47.7,39.8,55.5,7.77
"October, 1988",51.4,43.5,59.2,2.88
"September, 1988",66.2,57.1,75.3,2.96
"August, 1988",77.6,69.4,85.8,2.57
"July, 1988",77.9,68.6,87.2,7.68
"June, 1988",70.8,60.7,80.9,1.04
"May, 1988",61,52.4,69.7,5.49
"April, 1988",49.6,41.3,57.8,2.15
"March, 1988",42,33.1,50.9,2.22
"February, 1988",33.6,25.9,41.3,3.98
"January, 1988",27.9,20.6,35.2,2.94
"December, 1987",38.4,32.2,44.6,2.3
"November, 1987",46.5,38.1,54.9,3.09
"October, 1987",52.6,43.2,62.1,4.26
"September, 1987",66.5,58.9,74.2,4.94
"August, 1987",73.1,64.6,81.6,5.17
"July, 1987",77.1,68.4,85.8,4.5
"June, 1987",72.1,63.2,81.1,3.36
"May, 1987",62,52.2,71.7,1.67
"April, 1987",51.7,43.7,59.8,5.98
"March, 1987",43.4,34.4,52.3,3.77
"February, 1987",31.8,23.5,40.1,0.9
"January, 1987",31,25.3,36.8,5.19
"December, 1986",37.7,31.7,43.7,5.36
"November, 1986",44,35.9,52,6.74
"October, 1986",56.5,47.9,65.1,1.92
"September, 1986",66.3,57.9,74.8,2.1
"August, 1986",72.2,64.1,80.4,4.92
"July, 1986",75.3,67,83.5,5.01
"June, 1986",70.6,60.6,80.6,2.51
"May, 1986",64.3,54,74.6,1.26
"April, 1986",51.9,43,60.7,4.75
"March, 1986",42.5,32.7,52.3,1.86
"February, 1986",30.2,24.4,36.2,3.49
"January, 1986",32.4,24.6,40.2,4.13
"December, 1985",32.7,26,39.3,1.18
"November, 1985",48.6,42.1,55.2,7.55
"October, 1985",57.6,48.7,66.5,1.35
"September, 1985",68.8,59.8,77.7,4.82
"August, 1985",74.2,66.2,82.1,3.57
"July, 1985",75.2,66.5,84,4.32
"June, 1985",67.7,59.3,76,4.69
"May, 1985",64,54.2,73.7,5.15
"April, 1985",53.4,43.8,63,1.12
"March, 1985",43.9,34.1,53.7,1.76
"February, 1985",34.2,26.6,41.7,2.26
"January, 1985",26.8,19.9,33.8,1.15
"December, 1984",41.9,34.6,49.2,3.26
"November, 1984",45.2,36.8,53.6,3.08
"October, 1984",60.4,52.3,68.4,3.28
"September, 1984",64.6,55.2,73.9,2.27
"August, 1984",75.6,67.7,83.5,1.55
"July, 1984",73.8,65.8,81.7,8.43
"June, 1984",73.1,63.8,82.5,4.39
"May, 1984",60,51.4,68.7,9.91
"April, 1984",49.6,41.4,57.8,6.23
"March, 1984",34.8,27.6,42,5.79
"February, 1984",38.6,31.2,45.8,4.31
"January, 1984",27.7,21.2,34.3,1.91
"December, 1983",33.6,26.4,40.7,8.85
"November, 1983",46.8,38.9,54.7,5.55
"October, 1983",56.1,48.1,64.2,6.79
"September, 1983",69.8,59.6,80,3.07
"August, 1983",76.1,66.9,85.2,3.62
"July, 1983",78,67.8,88.1,2.94
"June, 1983",71.6,61.6,81.7,2.65
"May, 1983",58.3,49.5,67,4.69
"April, 1983",50.5,42.3,58.7,11.11
"March, 1983",42.6,35.5,49.6,9.35
"February, 1983",34.4,27,41.8,3.04
"January, 1983",33,26.7,39.4,4.4
"December, 1982",41,34,48,1.5
"November, 1982",48.3,40,56.5,3.5
"October, 1982",56.3,47.5,65.1,1.7
"September, 1982",66.3,58,74.6,2.25
"August, 1982",71.7,62.9,80.5,2.93
"July, 1982",76.1,67,85.1,3.18
"June, 1982",66.9,58.8,74.9,5.76
"May, 1982",62.6,53.5,71.6,2.69
"April, 1982",49,38.9,59,5.66
"March, 1982",39.9,32.2,47.6,2.43
"February, 1982",33.8,27,40.6,2.65
"January, 1982",24.1,16.4,31.8,5.28
"December, 1981",34.6,28.9,40.2,4.7
"November, 1981",45.2,38,52.3,1.65
"October, 1981",52.5,44,61,3.75
"September, 1981",65.8,57.7,73.9,3.79
"August, 1981",74.2,65.5,82.8,0.97
"July, 1981",77.2,68.5,85.8,5.15
"June, 1981",71.4,62.5,80.3,2.61
"May, 1981",62.5,52.6,72.4,4.16
"April, 1981",53.5,43.9,63.2,3.4
"March, 1981",39.7,31.5,47.9,1.16
"February, 1981",36.8,28.4,45.1,6.25
"January, 1981",24.2,16.8,31.6,0.58
"December, 1980",30.4,22.2,38.6,0.64
"November, 1980",42.5,35,49.9,3.98
"October, 1980",54.3,46.2,62.3,3.43
"September, 1980",70,61,78.9,1.37
"August, 1980",78,69.4,86.5,1.42
"July, 1980",77.8,68.5,87.2,4.24
"June, 1980",69.3,59.7,78.9,3.25
"May, 1980",64.2,54.2,74.2,2.53
"April, 1980",52.4,43.7,61.1,7.84
"March, 1980",39,30.9,47.1,8.82
"February, 1980",29.5,21.7,37.4,1.04
"January, 1980",32.1,25.4,38.9,1.83
"December, 1979",38.7,31.7,45.8,2.38
"November, 1979",49.3,41.7,57,3.51
"October, 1979",54.7,46.8,62.5,3.92
"September, 1979",67.1,58.9,75.3,5.97
"August, 1979",74.3,66.2,82.5,5.16
"July, 1979",75.8,67.4,84.2,2.01
"June, 1979",67.8,59.4,76.3,2.17
"May, 1979",62.6,54.5,70.8,6.17
"April, 1979",50,41.6,58.3,4.16
"March, 1979",44.2,35.1,53.2,4.08
"February, 1979",22.7,15.8,29.6,4.34
"January, 1979",31.2,24.1,38.4,9.83
"December, 1978",37.3,30.2,44.4,4.88
"November, 1978",46.5,39.4,53.6,2.74
"October, 1978",54.7,45.5,63.8,1.72
"September, 1978",64.6,55.2,74,3.21
