date,avg_temp,min_temp,max_temp,precipitation
"November, 1990",48.4,39.7,57.2,2.9
"October, 1990",60.6,52.2,69,6.03
"September, 1990",66.2,57.8,74.7,2.23
"August, 1990",74.5,66.7,82.2,9.21
"July, 1990",75.6,67.7,83.4,3.53
"June, 1990",70.6,61.4,79.7,2.65
"May, 1990",58.4,50,66.8,8.14
"April, 1990",51.3,42.5,60,4.38
"March, 1990",42.9,33.8,51.9,3.15
"February, 1990",38.3,29.5,47.2,1.94
"January, 1990",39.4,32.9,46,4.68
"December, 1989",24.4,17.5,31.2,0.71
"November, 1989",44.5,37,52,2.93
"October, 1989",57.1,47.8,66.3,6.5
"September, 1989",67.1,59,75.3,6.38
"August, 1989",73.2,65.6,80.7,5.51
"July, 1989",74.4,66,82.7,4.19
"June, 1989",71.2,63.1,79.3,6.38
"May, 1989",60.6,52,69.2,10.33
"April, 1989",49.9,40.7,59,3.58
"March, 1989",40.4,31.8,48.9,4.21
"February, 1989",32.8,26,39.6,2.78
"January, 1989",35.8,28.7,43,1.97
"December, 1988",34.8,27.7,41.9,1.22
"November, 1988",47.5,39.7,55.3,7.93
"October, 1988",51.1,43.6,58.6,2.91
"September, 1988",65.9,56.9,74.8,2.9
"August, 1988",77.1,69,85.2,2.75
"July, 1988",77.5,68.2,86.8,7.48
"June, 1988",70.4,60.3,80.6,0.87
"May, 1988",60.7,52,69.4,5.33
"April, 1988",49.4,41.4,57.4,2.06
"March, 1988",41.6,32.8,50.5,2.31
"February, 1988",33.4,25.9,40.9,3.68
"January, 1988",28,20.8,35.2,2.76
"December, 1987",38.1,32,44.2,2.14
"November, 1987",46.6,38.3,54.8,3.07
"October, 1987",52.5,43.3,61.8,4.44
"September, 1987",66.2,58.6,73.7,5.37
"August, 1987",72.4,63.8,81.1,5.35
"July, 1987",76.7,68.1,85.3,4.28
"June, 1987",71.7,62.7,80.7,3.49
"May, 1987",61.5,51.9,71.2,1.69
"April, 1987",51.8,43.4,60.1,6.53
"March, 1987",43.1,34.2,52,3.82
"February, 1987",31.6,23.3,40,0.83
"January, 1987",30.9,24.9,36.9,5.22
"December, 1986",37.5,31.5,43.5,5.48
"November, 1986",43.6,35.6,51.7,6.7
"October, 1986",56.3,47.6,65,2.01
"September, 1986",66,57.5,74.4,1.98
"August, 1986",71.9,64,79.8,5.34
"July, 1986",74.9,66.5,83.3,4.78
"June, 1986",70.1,59.9,80.2,2.83
"May, 1986",63.8,53.6,74,1.27
"April, 1986",51.8,43,60.7,4.64
"March, 1986",42.1,32.3,51.8,2.02
"February, 1986",29.8,24.1,35.6,3.53
"January, 1986",32.4,24.7,40.1,4.19
"December, 1985",32.5,26,38.9,1.29
"November, 1985",48.2,41.6,54.8,7.4
"October, 1985",57.3,48.3,66.2,1.42
"September, 1985",68.4,59.4,77.4,5.09
"August, 1985",73.9,66,81.8,3.48
"July, 1985",75,66.1,83.8,4.56
"June, 1985",67.2,58.5,75.9,4.7
"May, 1985",63.6,53.7,73.4,5.49
"April, 1985",53.1,43.6,62.6,1.03
"March, 1985",43.8,34.1,53.6,1.81
"February, 1985",34,26.6,41.4,2.21
"January, 1985",26.9,20.1,33.7,1.11
"December, 1984",41.7,34.6,48.8,3.25
"November, 1984",45.2,36.9,53.5,3.04
"October, 1984",60.2,52,68.3,3.37
"September, 1984",64.4,54.8,73.9,2.41
"August, 1984",75.4,67.6,83.2,1.49
"July, 1984",73.4,65.3,81.4,8.5
"June, 1984",72.8,63.3,82.4,4.29
"May, 1984",59.7,51.1,68.3,9.76
"April, 1984",49.4,41.2,57.4,6.4
"March, 1984",34.5,27.3,41.8,5.66
"February, 1984",38.4,31.1,45.6,4.41
"January, 1984",27.6,21,34.1,1.87
"December, 1983",33.5,26.6,40.3,8.86
"November, 1983",46.9,39.1,54.6,5.45
"October, 1983",55.9,47.8,64,6.75
"September, 1983",69.6,59.3,79.8,2.98
"August, 1983",76,66.5,85.4,3.39
"July, 1983",77.5,67.3,87.6,2.77
"June, 1983",71.3,61.2,81.3,2.66
"May, 1983",57.8,49.2,66.5,4.77
"April, 1983",50.3,42,58.7,11.34
"March, 1983",42.2,35.1,49.3,9.24
"February, 1983",33.9,26.5,41.2,2.96
"January, 1983",32.4,26.1,38.8,4.43
"December, 1982",40.5,33.3,47.8,1.54
"November, 1982",48.1,40.2,55.9,3.38
"October, 1982",56.1,47,65.2,1.73
"September, 1982",66.1,57.6,74.5,2.26
"August, 1982",71.6,63,80.1,2.75
"July, 1982",75.4,66,84.8,3.11
"June, 1982",66.7,58.5,75,6.07
"May, 1982",62.2,52.9,71.6,2.67
"April, 1982",48.5,38.5,58.6,5.42
"March, 1982",39.3,31.4,47.3,2.43
"February, 1982",33.4,26.6,40.1,2.72
"January, 1982",23.4,15.8,30.9,5.22
"December, 1981",34.4,29.2,39.7,4.75
"November, 1981",45,37.6,52.4,1.65
"October, 1981",52.2,43.5,60.9,4.18
"September, 1981",65.5,57.3,73.6,3.78
"August, 1981",74.1,65.2,83,1.04
"July, 1981",77,68.2,85.7,5.2
"June, 1981",71.2,62.1,80.4,2.55
"May, 1981",62,52.2,71.8,4.14
"April, 1981",53.3,43.9,62.7,3.48
"March, 1981",39.5,31.2,47.9,1.04
"February, 1981",36.6,27.8,45.4,6.49
"January, 1981",23.5,15.9,31.1,0.55
"December, 1980",30.2,22.1,38.3,0.65
"November, 1980",41.9,34.6,49.3,3.96
"October, 1980",54.2,46.2,62.2,3.53
"September, 1980",69.7,60.5,78.8,1.35
"August, 1980",77.8,69.2,86.4,1.17
"July, 1980",77.5,67.9,87.2,4.1
"June, 1980",68.8,58.9,78.8,3.44
"May, 1980",63.6,53.4,73.8,2.44
"April, 1980",52.2,43.6,60.9,8.36
"March, 1980",38.7,30.7,46.7,8.82
"February, 1980",29.1,21.4,36.8,0.99
"January, 1980",31.6,25.1,38.1,1.82
"December, 1979",38,31.4,44.6,2.38
"November, 1979",48.7,41.3,56,3.66
"October, 1979",54.5,47.1,61.9,4
"September, 1979",66.5,58.4,74.7,6.04
"August, 1979",73.9,65.8,82,5.24
"July, 1979",75.5,66.8,84.3,1.99
"June, 1979",67.9,59,76.8,2.13
"May, 1979",62.6,54.5,70.7,5.98
"April, 1979",49.7,41.1,58.2,4.35
"March, 1979",44,35,53,4.2
"February, 1979",22.3,15.2,29.4,4.16
"January, 1979",31.1,24.2,38,10.08
"December, 1978",37.1,30.2,44,4.76
"November, 1978",46.1,39,53.2,2.64
"October, 1978",54.7,45.4,64,1.73
"September, 1978",64.2,54.9,73.6,3.25
"August, 1978",75.2,67.8,82.6,5.76
"July, 1978",73.5,64.9,82.1,3.94
"June, 1978",69.7,59.7,79.7,2.33
"May, 1978",59.4,50.7,68,7.61
"April, 1978",49.8,40.4,59.3,2
"March, 1978",37.8,30.1,45.6,3.58
"February, 1978",25.5,18.9,32.1,1.47
"January, 1978",27.4,20.8,33.9,7.73
"December, 1977",33.9,27.7,40.1,4.96
"November, 1977",46.3,41,51.7,8.81
"October, 1977",54.1,46.4,61.8,5.12
"September, 1977",66.8,59.3,74.3,6.05
"August, 1977",74.4,66,82.8,4.03
"July, 1977",76.9,67,86.7,1.65
"June, 1977",68.8,59.8,77.7,4.18
"May, 1977",63.8,52.6,75,1.92
"April, 1977",52.1,41.4,62.8,3.71
"March, 1977",45.2,36.1,54.2,7.06
"February, 1977",32.2,24.7,39.7,2.92
"January, 1977",21.7,14.8,28.6,2.04
"December, 1976",29.4,21.9,36.9,2.41
"November, 1976",40.4,33.3,47.5,0.41
"October, 1976",52.3,44.9,59.7,5.56
"September, 1976",66,57,75,3.27
"August, 1976",73.6,64.9,82.4,5.77
"July, 1976",74.4,65.5,83.3,3.26
"June, 1976",72.9,63.7,82,3.96
"May, 1976",60.1,50.5,69.6,4.27
"April, 1976",54.1,44.1,64,3
"March, 1976",43.2,34.4,52,2.57
"February, 1976",39,29.3,48.7,2.91
"January, 1976",26.9,19.5,34.3,5.33
"December, 1975",35.4,28.6,42.2,3.41
"November, 1975",50.6,43.1,58,4.13
"October, 1975",58.5,50.1,67,4.18
"September, 1975",63.4,55.6,71.1,9.81
"August, 1975",73.9,65.7,82.2,3.76
"July, 1975",75.4,67.3,83.6,8.94
"June, 1975",69.7,61.6,77.8,5.72
"May, 1975",64.2,54.5,74,3.73
"April, 1975",46.6,37.5,55.7,2.9
"March, 1975",39,31.2,46.8,3.71
"February, 1975",34.4,28,40.8,3.2
"January, 1975",36,29.2,42.7,4.91
"December, 1974",37.9,32.4,43.5,5.27
"November, 1974",46.3,38.8,53.7,1.53
"October, 1974",52.5,43.5,61.5,2.11
"September, 1974",65.4,57,73.9,7.95
"August, 1974",75,65.9,84.1,5.18
"July, 1974",75.9,66.4,85.4,1.57
"June, 1974",68.1,59.4,76.8,3.34
"May, 1974",59.4,50.6,68.4,3.92
"April, 1974",53.3,43.2,63.4,3.57
"March, 1974",41.1,32.8,49.5,4.95
"February, 1974",31,23.6,38.5,1.86
"January, 1974",34.2,27,41.4,3.56
