date,avg_temp,min_temp,max_temp,precipitation
"June, 2001",72.4,63.6,81.2,5.14
"May, 2001",62,52.9,71.1,2.52
"April, 2001",52.1,42.6,61.6,1.7
"March, 2001",39.2,32.2,46.1,7.45
"February, 2001",35.2,27.2,43.2,2.07
"January, 2001",32.5,26,39,3.06
"December, 2000",31,23.8,38.1,3.57
"November, 2000",44.6,37.3,52,4.09
"October, 2000",56.1,46.8,65.4,0.58
"September, 2000",65.9,57.3,74.4,4.73
"August, 2000",72.6,65,80.2,3.76
"July, 2000",72,63.8,80.2,6.34
"June, 2000",70.3,61.3,79.3,4.12
"May, 2000",62,52.9,71.1,4.49
"April, 2000",49.7,41.7,57.7,4.21
"March, 2000",45.9,37,54.8,3.96
"February, 2000",36.3,28.9,43.6,1.91
"January, 2000",31,23.3,38.6,2.95
"December, 1999",39.4,32.4,46.5,2.83
"November, 1999",49.8,41.8,57.8,2.48
"October, 1999",55.2,46.2,64.2,3.27
"September, 1999",68.5,60.5,76.4,8.24
"August, 1999",74.9,66.4,83.3,4.09
"July, 1999",79.7,70.4,89.1,0.88
"June, 1999",72.2,62.7,81.6,0.86
"May, 1999",61.5,52.4,70.6,3.9
"April, 1999",51.9,42,62,1.93
"March, 1999",41.6,32.6,50.5,4.16
"February, 1999",36.9,29.1,44.6,3.24
"January, 1999",33.7,25.9,41.5,7.67
"December, 1998",42,34.6,49.4,1.07
"November, 1998",47.1,39.3,55,1.41
"October, 1998",57,48.9,65.1,2.34
"September, 1998",69.4,60.1,78.6,2.77
"August, 1998",76.1,67.3,84.9,2.47
"July, 1998",76.1,67.3,84.9,1.23
"June, 1998",68.5,60.7,76.4,5.61
"May, 1998",62.9,53.9,71.8,5.96
"April, 1998",52,43,61,5.55
"March, 1998",43.4,35.8,51,5.19
"February, 1998",39.7,33,46.4,4.36
"January, 1998",39.4,33,45.8,4.98
"December, 1997",37.7,31.1,44.4,3.98
"November, 1997",44,37.1,50.9,4.56
"October, 1997",56.2,47.4,65.1,2.17
"September, 1997",66.5,57.4,75.6,2.01
"August, 1997",73,64.4,81.5,5.01
"July, 1997",75,65.3,84.7,5.99
"June, 1997",69.8,60,79.7,2.06
"May, 1997",58,48.7,67.4,3.29
"April, 1997",50,40.1,59.8,3.86
"March, 1997",41.5,33.2,49.8,4.71
"February, 1997",39.4,31.4,47.4,2.43
"January, 1997",31.8,24.1,39.4,3.19
"December, 1996",40.3,34.1,46.5,6.71
"November, 1996",42.2,34.8,49.6,2.78
"October, 1996",55.6,46.9,64.2,6.84
"September, 1996",67.6,60,75.2,5.22
"August, 1996",73.6,65.8,81.4,2.64
"July, 1996",72.9,65.5,80.4,7.07
"June, 1996",70.5,62.4,78.6,4.67
"May, 1996",59.2,50,68.4,2.9
"April, 1996",50.6,42.2,59,5.3
"March, 1996",38,29.6,46.5,3.85
"February, 1996",33.3,25.8,40.8,2.29
"January, 1996",30,22.6,37.4,4.74
"December, 1995",32,25.4,38.6,2.24
"November, 1995",43.1,35.3,50.8,5.19
"October, 1995",60,50.7,69.3,5.86
"September, 1995",66.7,58.2,75.2,3.52
"August, 1995",76.5,66.6,86.4,0.44
"July, 1995",77.2,68.9,85.6,4.63
"June, 1995",70.3,61.2,79.3,2.44
"May, 1995",60.1,51.3,68.8,3.19
"April, 1995",50,40.7,59.3,2.13
"March, 1995",43.7,35.7,51.6,1.51
"February, 1995",30.4,22.5,38.4,2.93
"January, 1995",37.2,30.9,43.5,3.55
"December, 1994",41,33.3,48.8,3.02
"November, 1994",50.2,42,58.5,3.74
"October, 1994",56.3,47.1,65.4,1.34
"September, 1994",66.5,58,75.1,3.79
"August, 1994",72,63.5,80.5,5.66
"July, 1994",78.2,69.8,86.6,3.59
"June, 1994",72.9,63.6,82.3,2.64
"May, 1994",59.8,49.7,69.9,4.42
"April, 1994",53.4,43.7,63.2,2.59
"March, 1994",39.5,31.8,47.2,5.96
"February, 1994",29.1,21.3,37,3.26
"January, 1994",25,17,33,5.32
"December, 1993",36.2,29.3,43.1,4.34
"November, 1993",46.4,37.4,55.3,1.83
"October, 1993",54.5,46.1,62.9,4.08
"September, 1993",66.3,58.4,74.2,5.46
"August, 1993",74.8,66.5,83.2,3.58
"July, 1993",78.4,68.8,87.9,2.02
"June, 1993",71.1,61.7,80.6,1.76
"May, 1993",63.1,53.2,73,1.64
"April, 1993",50.7,41.6,59.7,3.86
"March, 1993",38,30.6,45.5,6.78
"February, 1993",29.7,21.3,38.1,2.74
"January, 1993",35.8,29,42.6,2.7
"December, 1992",37,30.3,43.6,5.36
"November, 1992",45.5,38.9,52,5.7
"October, 1992",53.1,44.2,62.1,1.44
"September, 1992",66.2,58.1,74.2,3
"August, 1992",71.7,63.2,80.1,5.04
"July, 1992",73.2,64.8,81.7,5.05
"June, 1992",68.4,59.6,77.2,3.87
"May, 1992",59.2,49.2,69.1,3.4
"April, 1992",48.3,39.8,56.9,1.71
"March, 1992",38.7,30.6,46.9,3.78
"February, 1992",35.6,28,43.2,1.72
"January, 1992",35,27.5,42.4,1.65
"December, 1991",39.1,31.6,46.6,3.82
"November, 1991",47.1,39.7,54.5,2.11
"October, 1991",57.6,48.6,66.6,1.74
"September, 1991",66.6,57.6,75.6,3.72
"August, 1991",76.1,67.3,84.9,6.71
"July, 1991",76.4,67.6,85.3,3.62
